Table 130-06606 : Median monthly household income by household size;;;;;;;;;
 ;;;;;;;;;
 ;;Median monthly household income (1) (2);;;;;;;
;;HK$;;;;;;;
Household size (3);;1;2;3;4;5 and over;;;Overall
;;;;;;5;6 and over;Overall;
Year;Quarter;;;;;;;;
1993;Q1;6,000;12,000;13,500;14,500;17,200;21,900;18,800;13,500
;Q2;6,000;11,000;12,500;13,000;16,000;20,000;17,800;12,800
;Q3;6,500;11,500;13,000;14,000;16,600;20,500;18,000;13,000
;Q4;6,500;11,500;13,500;14,600;17,000;21,000;18,500;13,500
1994;Q1;6,800;13,000;15,000;15,500;18,900;24,200;21,000;15,000
;Q2;7,000;13,000;13,500;15,000;18,500;23,200;20,000;14,100
;Q3;7,000;13,000;14,600;15,500;19,000;23,500;20,500;15,000
;Q4;7,000;12,500;15,000;16,000;19,000;24,500;21,000;15,000
1995;Q1;7,500;15,000;17,000;18,500;21,100;28,000;23,600;17,000
;Q2;7,800;13,000;15,000;16,500;20,000;25,500;21,800;15,100
;Q3;8,000;13,400;15,500;16,500;20,000;25,600;21,500;15,600
;Q4;8,000;14,000;15,500;17,000;20,000;24,600;21,500;15,700
1996;Q1;8,500;16,000;18,000;19,800;23,000;28,600;24,800;18,000
;Q2;8,500;15,000;16,000;18,000;21,100;26,000;23,000;16,600
;Q3;9,000;15,000;16,500;18,600;21,800;27,500;24,000;17,300
;Q4;9,500;16,000;17,500;19,500;23,000;29,100;25,000;18,000
1997;Q1;10,000;17,100;19,900;21,000;26,000;30,800;27,600;20,000
;Q2;8,700;16,000;17,700;19,200;23,800;28,600;25,300;18,000
;Q3;9,700;16,500;18,500;20,000;24,300;29,500;26,000;19,000
;Q4;10,000;17,000;18,900;20,500;25,000;30,700;26,900;19,500
1998;Q1;8,000;16,000;19,700;21,500;26,000;31,400;28,000;19,700
;Q2;7,000;14,000;17,200;20,000;23,900;29,500;25,600;17,500
;Q3;7,700;14,600;17,800;20,000;24,000;29,700;25,500;17,800
;Q4;7,000;14,000;17,000;19,500;23,700;27,400;25,000;17,000
1999;Q1;7,000;15,000;18,000;20,000;24,800;28,700;26,000;18,000
;Q2;7,000;15,000;17,000;20,000;23,500;27,700;25,000;17,500
;Q3;7,000;15,000;17,000;19,000;23,000;26,700;24,000;17,000
;Q4;6,500;14,700;16,700;19,500;23,000;28,000;24,600;17,000
2000;Q1;6,200;15,700;18,600;20,500;24,500;30,000;26,000;18,700
;Q2;6,700;15,000;17,000;20,000;24,000;26,600;25,000;17,800
;Q3;7,000;14,300;17,500;20,000;24,500;26,200;25,000;18,000
;Q4;6,300;15,000;17,200;20,000;24,000;28,000;25,300;18,000
2001;Q1;7,200;16,000;19,000;22,000;27,000;31,000;28,500;19,600
;Q2;7,500;15,000;17,500;20,400;25,000;30,000;26,700;18,000
;Q3;7,400;15,000;17,400;20,000;25,000;29,500;26,300;18,000
;Q4;7,000;14,200;16,500;20,000;24,700;28,600;25,700;17,000
2002;Q1;6,500;15,000;18,000;20,000;25,000;28,600;26,000;18,000
;Q2;6,400;14,500;16,500;19,300;24,900;27,400;25,700;16,900
;Q3;6,200;13,900;16,300;19,500;24,700;26,400;25,400;16,500
;Q4;6,400;13,700;16,000;20,000;24,000;28,000;25,500;16,300
2003;Q1;6,000;13,900;16,700;19,900;25,000;28,400;26,000;16,700
;Q2;5,900;13,000;15,000;18,300;23,300;26,700;24,000;15,000
;Q3;6,000;12,500;15,500;19,000;23,100;26,600;24,000;15,400
;Q4;6,000;13,000;15,300;19,000;23,100;26,100;24,000;15,500
2004;Q1;6,000;13,100;16,500;19,500;24,800;29,600;26,000;16,000
;Q2;6,000;12,700;15,800;18,700;23,700;28,300;25,000;15,500
;Q3;6,000;12,700;16,000;19,100;23,800;27,500;24,700;15,600
;Q4;6,100;13,000;16,000;19,000;23,700;28,700;25,200;15,700
2005;Q1;6,100;13,900;16,800;20,000;25,000;29,000;26,000;16,300
;Q2;6,100;14,000;16,000;19,800;24,200;28,400;25,500;16,000
;Q3;6,000;13,400;16,200;20,000;25,000;29,500;26,000;16,000
;Q4;6,000;13,100;16,200;20,000;25,400;30,000;26,600;16,000
2006;Q1;6,500;14,700;17,300;21,300;27,000;29,000;27,500;17,500
;Q2;6,500;13,800;17,000;20,700;26,800;29,000;27,400;16,500
;Q3;6,500;14,000;17,100;20,900;26,300;30,000;27,000;17,000
;Q4;6,500;13,500;17,300;20,800;27,000;30,000;27,700;16,800
2007;Q1;6,500;14,000;18,000;22,000;28,400;29,400;28,800;17,700
;Q2;7,000;13,600;17,800;21,200;28,500;30,000;28,800;17,300
;Q3;6,500;14,000;18,000;21,700;28,400;30,000;28,800;17,400
;Q4;6,700;14,000;18,100;22,000;29,300;31,700;30,000;18,000
2008;Q1;6,500;14,600;19,000;23,200;30,500;34,500;31,800;18,500
;Q2;7,000;14,700;18,400;22,500;29,100;32,200;30,100;18,000
;Q3;7,000;14,700;19,200;23,500;29,400;33,000;30,500;18,500
;Q4;7,000;14,600;18,800;23,500;28,600;32,800;30,000;18,500
2009;Q1;6,600;14,000;18,600;23,800;29,600;32,000;30,000;18,100
;Q2;6,500;13,000;18,000;23,000;29,600;32,100;30,100;17,500
;Q3;6,500;13,500;18,000;22,400;29,000;33,600;30,300;17,500
;Q4;6,500;13,000;18,100;23,000;29,100;35,000;31,000;17,700
2010;Q1;6,300;13,500;19,000;23,700;30,900;35,600;32,000;18,000
;Q2;6,500;14,000;18,100;23,700;29,000;32,600;30,000;18,000
;Q3;6,500;14,000;19,000;24,000;31,000;34,100;32,000;18,300
;Q4;6,300;13,600;19,000;24,000;32,000;36,600;33,400;18,300
2011;Q1;6,500;14,500;20,000;24,700;33,600;37,600;34,500;19,100
;Q2;7,000;14,500;20,000;26,000;32,500;38,600;33,700;19,600
;Q3;7,100;15,000;20,500;26,600;34,500;39,600;36,000;20,000
;Q4;7,000;15,000;21,000;26,600;35,100;38,500;36,000;20,000
2012;Q1;7,000;15,500;21,500;29,000;36,000;43,000;37,700;21,000
;Q2;7,000;15,000;21,800;28,100;36,700;40,000;37,500;20,600
;Q3;7,300;15,500;21,800;28,500;36,000;43,000;38,000;20,900
;Q4;7,300;15,100;22,000;29,600;37,000;43,000;38,100;21,100
2013;Q1;7,300;16,000;23,500;30,500;40,800;41,700;41,000;22,100
;Q2;7,100;16,200;22,500;30,500;39,200;43,200;40,300;22,000
;Q3;7,700;16,700;24,400;31,400;39,900;46,100;41,800;22,600
;Q4;7,500;16,100;24,000;31,000;40,400;45,000;41,800;22,400
2014;Q1;7,800;17,000;24,600;32,000;42,100;45,100;43,200;23,000
;Q2;7,500;16,300;24,000;31,100;41,200;46,600;43,400;22,500
;Q3;7,600;17,000;25,000;32,800;42,700;50,500;44,200;23,500
;Q4;7,500;17,000;25,200;33,800;43,900;46,000;44,300;23,700
2015;Q1;8,000;17,400;25,900;34,600;44,100;48,200;45,500;24,500
;Q2;8,000;17,300;25,500;34,200;45,500;49,300;47,000;24,100
;Q3;10,000;18,700;27,000;36,000;45,000;52,000;47,000;25,000
;Q4;7,400;17,400;26,000;36,000;45,000;51,300;47,100;24,400
2016;Q1;8,000;17,400;27,900;36,000;48,000;48,700;48,200;25,000
;Q2;7,900;17,600;28,000;35,900;47,200;52,100;48,100;25,000
;Q3;8,600;18,700;28,000;37,500;47,100;52,800;49,200;25,500
;Q4;8,300;18,000;28,000;37,500;47,500;54,200;49,200;25,000
2017;Q1;8,000;18,500;28,500;39,300;51,500;54,200;52,200;26,300
;Q2;8,000;19,000;28,500;38,000;52,200;55,400;53,200;26,000
;Q3;8,700;20,000;29,500;39,100;52,300;57,300;54,000;26,900
;Q4;9,000;19,500;30,000;40,000;53,600;57,200;54,300;27,600
2018;Q1;8,500;20,000;31,000;41,000;53,800;57,000;54,300;28,500
;Q2;8,300;20,000;30,100;40,900;52,700;57,000;54,000;27,900
;Q3;11,000;21,000;31,900;43,500;53,400;59,200;54,400;29,000
;Q4;9,300;20,000;31,200;42,900;54,300;57,000;55,000;28,700
2019;Q1;9,500;20,100;32,600;44,000;56,400;60,500;57,300;30,000
;Q2;9,500;20,100;31,500;42,800;55,100;59,500;56,200;29,200
;Q3;10,000;20,000;32,000;42,600;57,600;62,700;59,000;29,300
;Q4;9,300;20,000;31,100;42,700;57,700;59,500;58,400;28,300
2020;Q1;10,300;20,100;32,100;43,800;57,100;61,000;58,600;29,100
;Q2;9,500;18,100;30,300;40,500;52,300;54,900;53,400;26,500
;Q3;10,000;19,500;30,500;40,600;54,100;64,000;56,300;27,000
;Q4;9,500;19,100;30,000;41,200;52,500;60,800;55,200;26,500
2021;Q1;9,100;19,200;30,800;42,700;53,400;62,300;55,200;26,900
;Q2;9,100;20,000;31,000;43,400;55,500;57,600;56,400;27,200
;Q3;9,200;20,000;31,300;43,200;58,100;57,700;58,000;27,600
;Q4;9,800;20,000;32,600;44,200;57,100;59,700;57,600;28,200
2022;Q1;9,900;20,000;33,000;43,400;56,500;60,300;58,200;28,500
;Q2;9,500;19,600;32,500;42,900;55,100;58,800;55,700;27,200
;Q3;10,100;20,400;33,400;44,800;57,400;60,900;59,000;28,500
;Q4;10,000;20,000;34,100;46,500;57,300;65,200;60,000;29,100
2023;Q1;10,500;21,000;34,800;47,200;60,400;69,700;63,700;29,700
;Q2;11,000;21,000;34,900;47,000;61,900;65,600;63,700;29,100
;Q3;11,300;21,200;35,200;48,900;62,600;68,100;63,800;30,000
;Q4;10,400;21,600;35,500;48,000;62,100;68,400;63,800;30,000
2024;Q1;10,500;21,600;35,700;48,700;64,700;71,800;66,400;30,000
;Q2;10,000;21,200;35,300;50,400;64,900;65,700;65,000;29,700
;Q3;10,500;22,400;36,700;50,100;62,100;63,700;63,000;30,000
;Q4;10,600;21,600;36,400;49,500;64,200;71,000;66,000;29,700
2025;Q1;10,200;22,000;38,100;52,000;67,200;69,500;67,700;30,000
;Q2;10,100;21,800;36,900;50,500;68,400;67,400;68,000;30,000
 ;;;;;;;;;
Note(s):;;;;;;;;;
"Median monthly household incomes are rounded to the nearest hundred. 
 Starting from 2001, annual figures are compiled based on the survey results of the General Household Survey from January to December of the year concerned as well as the mid-year population estimates and may be regarded as referring to the overall situation of the whole year.";;;;;;;;;
1 Monthly household income refers to the total cash income, including earnings (before deduction of Mandatory Provident Fund contributions) from all jobs and other cash income received in the month before enumeration by all members of the household. Other cash income includes income generated from rent income, interest, dividends, regular/monthly pensions and insurance annuity benefits, regular contribution from persons outside the household, regular contribution from charities and all government subsidies.;;;;;;;;;
2 Domestic household consists of a group of persons who live together and make common provision for essentials for living. These persons need not be related. If a person makes provision for essentials for living without sharing with other persons, he/she is also regarded as a household. In this case, the household is a one-person household. A domestic household must have at least one member who is a Usual Resident. Households comprising Mobile Residents only are not classified as domestic households.;;;;;;;;;
3 Household size refers to the number of household members in a domestic household.;;;;;;;;;
 ;;;;;;;;;
Source:;;;;;;;;;
"General Household Survey Section (3),
Census and Statistics Department
(Enquiry telephone no. : 2887 5508
 Enquiry e-mail : ghs@censtatd.gov.hk)";;;;;;;;;
 ;;;;;;;;;
Release Date: 16 September, 2025;;;;;;;;;
